song,artist,play_time,download_time
Fire,Arthur Brown,17hoursago,2019-08-22 11:51:39.763551
Love Like Blood,Killing Joke,18hoursago,2019-08-22 11:51:39.763551
Sliver,Nirvana,18hoursago,2019-08-22 11:51:39.763551
People Who Died,The Jim Carroll Band,18hoursago,2019-08-22 11:51:39.763551
Running Up That Hill,Placebo,18hoursago,2019-08-22 11:51:39.763551
Longview,Green Day,18hoursago,2019-08-22 11:51:39.763551
Smokers Outside the Hospital Doors,Editors,18hoursago,2019-08-22 11:51:39.763551
If I Could Talk I'd Tell You,The Lemonheads,18hoursago,2019-08-22 11:51:39.763551
(I Can't Get No) Satisfaction,The Rolling Stones,18hoursago,2019-08-22 11:51:39.763551
Comin' Up from Behind,Marcy Playground,18hoursago,2019-08-22 11:51:39.763551
Teenagers From Mars,Misfits,18hoursago,2019-08-22 11:51:39.763551
American Girl,Tom Petty and The Heartbreakers,18hoursago,2019-08-22 11:51:39.763551
TV Party,Black Flag,18hoursago,2019-08-22 11:51:39.763551
"William, It Was Really Nothing ",The Smiths,18hoursago,2019-08-22 11:51:39.763551
Lazy Line Painter Jane,Belle and Sebastian,18hoursago,2019-08-22 11:51:39.763551
Inbetweener,Sleeper,18hoursago,2019-08-22 11:51:39.763551
Kiss Off,Violent Femmes,19hoursago,2019-08-22 11:51:39.763551
Sour Girl,Stone Temple Pilots,19hoursago,2019-08-22 11:51:39.763551
Calling Occupants Of Interplanetary Craft,Babes in Toyland,19hoursago,2019-08-22 11:51:39.763551
Discipline,Nine Inch Nails,21hoursago,2019-08-22 11:51:39.763551
She Hates Me,Puddle of Mudd,21hoursago,2019-08-22 11:51:39.763551
I Alone,Live,21hoursago,2019-08-22 11:51:39.763551
Kundalini Express,Love And Rockets,23hoursago,2019-08-22 11:51:39.763551
Raspberry Beret,Prince,23hoursago,2019-08-22 11:51:39.763551
21st Century (Digital Boy),Bad Religion,21Aug9:56am,2019-08-22 11:51:39.763551
Wake Up,Arcade Fire,21Aug9:50am,2019-08-22 11:51:39.763551
Lucky Man,The Verve,21Aug9:47am,2019-08-22 11:51:39.763551
She Don't Use Jelly,The Flaming Lips,21Aug9:43am,2019-08-22 11:51:39.763551
Everlong,Foo Fighters,21Aug9:04am,2019-08-22 11:51:39.763551
Golden Touch,Razorlight,21Aug9:00am,2019-08-22 11:51:39.763551
Tell Me When It's Over,The Dream Syndicate,21Aug8:57am,2019-08-22 11:51:39.763551
Bang Bang You're Dead,Dirty Pretty Things,21Aug8:53am,2019-08-22 11:51:39.763551
California Dreamin',The Mamas & the Papas,21Aug8:48am,2019-08-22 11:51:39.763551
Hey Sandy,Polaris,21Aug8:46am,2019-08-22 11:51:39.763551
Stereo,Pavement,21Aug8:43am,2019-08-22 11:51:39.763551
Sunday Mornin' Comin' Down,Kris Kristofferson,21Aug8:38am,2019-08-22 11:51:39.763551
"Oh, Lonesome Me",Don Gibson,21Aug8:35am,2019-08-22 11:51:39.763551
Get Rhythm,Johnny Cash,21Aug8:33am,2019-08-22 11:51:39.763551
Misirlou,Dick Dale & His Del-Tones,20Aug10:09pm,2019-08-22 11:51:39.763551
Jolene,Dolly Parton,20Aug8:59pm,2019-08-22 11:51:39.763551
Man,Yeah Yeah Yeahs,20Aug8:57pm,2019-08-22 11:51:39.763551
Fake Tales of San Francisco,Arctic Monkeys,20Aug8:54pm,2019-08-22 11:51:39.763551
Suffragette City ,David Bowie,20Aug8:51pm,2019-08-22 11:51:39.763551
Faster,Manic Street Preachers,20Aug8:47pm,2019-08-22 11:51:39.763551
Lullaby,The Courteeners,20Aug8:43pm,2019-08-22 11:51:39.763551
Some Girls Are Bigger Than Others ,The Smiths,20Aug8:39pm,2019-08-22 11:51:39.763551
Gardenia,Iggy Pop,20Aug8:35pm,2019-08-22 11:51:39.763551
Negative Creep ,Nirvana,20Aug8:32pm,2019-08-22 11:51:39.763551
Dirty Jeans,Magic Dirt,20Aug8:28pm,2019-08-22 11:51:39.763551
Land of Confusion,Disturbed,20Aug8:24pm,2019-08-22 11:51:39.763551
The Nothing,Mystery Jets,20Aug8:24pm,2019-08-22 11:51:39.763551
The Nothing,Mystery Jets,20Aug8:19pm,2019-08-22 11:51:39.763551
Glasgow Mega,Mogwai,20Aug8:15pm,2019-08-22 11:51:39.763551
Surrender,Cheap Trick,20Aug8:11pm,2019-08-22 11:51:39.763551
Novocaine for the Soul,Eels,20Aug8:08pm,2019-08-22 11:51:39.763551
Woman,Wolfmother,20Aug8:05pm,2019-08-22 11:51:39.763551
Place Your Hands,Reef,20Aug8:01pm,2019-08-22 11:51:39.763551
Free Toy ,Longpigs,20Aug7:56pm,2019-08-22 11:51:39.763551
In Bloom ,Nirvana,20Aug7:52pm,2019-08-22 11:51:39.763551
Digsy’s Dinner ,Oasis,20Aug7:49pm,2019-08-22 11:51:39.763551
Purple Haze,Jimi Hendrix,20Aug7:46pm,2019-08-22 11:51:39.763551
My Iron Lung,Radiohead,20Aug7:42pm,2019-08-22 11:51:39.763551
Release the Bats,The Birthday Party,20Aug7:39pm,2019-08-22 11:51:39.763551
Never Met a Girl Like You Before,The Insects,20Aug7:18pm,2019-08-22 11:51:39.763551
Handsome Devil ,The Smiths,20Aug7:15pm,2019-08-22 11:51:39.763551
Death by Diamonds and Pearls,Band of Skulls,20Aug7:12pm,2019-08-22 11:51:39.763551
Month of May,Arcade Fire,20Aug7:06pm,2019-08-22 11:51:39.763551
Sheila Take a Bow ,The Smiths,20Aug7:03pm,2019-08-22 11:51:39.763551
On a Plain,Nirvana,20Aug6:59pm,2019-08-22 11:51:39.763551
Mudshovel,Staind,20Aug6:54pm,2019-08-22 11:51:39.763551
Left Behind,Slipknot,20Aug6:50pm,2019-08-22 11:51:39.763551
Beat on the Brat ,Ramones,20Aug6:48pm,2019-08-22 11:51:39.763551
Cherry Lips (Go Baby Go),Garbage,20Aug6:45pm,2019-08-22 11:51:39.763551
Hello Today,Black Honey,20Aug6:42pm,2019-08-22 11:51:39.763551
Apple Bed,Sparklehorse,20Aug6:38pm,2019-08-22 11:51:39.763551
Gimme Some Truth,Generation X,20Aug6:36pm,2019-08-22 11:51:39.763551
Heart And Soul,Twin Atlantic,20Aug6:32pm,2019-08-22 11:51:39.763551
Cherub Rock ,The Smashing Pumpkins,20Aug6:27pm,2019-08-22 11:51:39.763551
Don't Let's Start,They Might Be Giants,20Aug6:24pm,2019-08-22 11:51:39.763551
I Got Stripes ,Johnny Cash,20Aug6:22pm,2019-08-22 11:51:39.763551
Temptation,New Order,20Aug6:14pm,2019-08-22 11:51:39.763551
Too Many Puppies,Primus,20Aug4:57pm,2019-08-22 11:51:39.763551
Cosmic Dancer,T. Rex,20Aug4:52pm,2019-08-22 11:51:39.763551
Back on the Chain Gang ,Pretenders,20Aug4:48pm,2019-08-22 11:51:39.763551
99 Red Balloons ,Nena,20Aug4:36pm,2019-08-22 11:51:39.763551
Human Fly,The Cramps,20Aug4:34pm,2019-08-22 11:51:39.763551
Just A Day ,Feeder,20Aug4:30pm,2019-08-22 11:51:39.763551
Come as You Are,Nirvana,19Aug7:32pm,2019-08-22 11:51:39.763551
Golden Retriever,Super Furry Animals,19Aug7:32pm,2019-08-22 11:51:39.763551
Golden Retriever,Super Furry Animals,19Aug7:30pm,2019-08-22 11:51:39.763551
