song,artist,play_time,download_time
Government,Rupert Gregson-Williams,2hoursago,2019-08-22 19:30:53.125480
Sagana,Rupert Gregson-Williams,2hoursago,2019-08-22 19:30:53.125480
Duck Shoot,Rupert Gregson-Williams,2hoursago,2019-08-22 19:30:53.125480
The Crown Main Title,Hans Zimmer,2hoursago,2019-08-22 19:30:53.125480
Government,Rupert Gregson-Williams,2hoursago,2019-08-22 19:30:53.125480
Sagana,Rupert Gregson-Williams,2hoursago,2019-08-22 19:30:53.125480
Duck Shoot,Rupert Gregson-Williams,3hoursago,2019-08-22 19:30:53.125480
The Crown Main Title,Hans Zimmer,3hoursago,2019-08-22 19:30:53.125480
Head of the Family,Rupert Gregson-Williams,21Aug6:23pm,2019-08-22 19:30:53.125480
Chasing Margaret,Rupert Gregson-Williams,21Aug6:22pm,2019-08-22 19:30:53.125480
Mary and Edward,Rupert Gregson-Williams,21Aug6:18pm,2019-08-22 19:30:53.125480
Mary is Dead,Rupert Gregson-Williams,21Aug6:17pm,2019-08-22 19:30:53.125480
Dressing Down,Rupert Gregson-Williams,21Aug6:14pm,2019-08-22 19:30:53.125480
Bit of Fluff,Rupert Gregson-Williams,21Aug6:11pm,2019-08-22 19:30:53.125480
Margaret Calls Elizabeth,Rupert Gregson-Williams,21Aug6:07pm,2019-08-22 19:30:53.125480
Where Does That Leave Me?,Rupert Gregson-Williams,21Aug6:05pm,2019-08-22 19:30:53.125480
Someone Remarkable,Rupert Gregson-Williams,21Aug6:01pm,2019-08-22 19:30:53.125480
The Anointing,Rupert Gregson-Williams,21Aug5:56pm,2019-08-22 19:30:53.125480
Margaret and Townsend,Rupert Gregson-Williams,21Aug5:53pm,2019-08-22 19:30:53.125480
In This Together,Rupert Gregson-Williams,21Aug5:47pm,2019-08-22 19:30:53.125480
Edward Returns,Rupert Gregson-Williams,21Aug5:45pm,2019-08-22 19:30:53.125480
Limerick,Rupert Gregson-Williams,21Aug5:42pm,2019-08-22 19:30:53.125480
The Letter,Rupert Gregson-Williams,21Aug5:34pm,2019-08-22 19:30:53.125480
Government,Rupert Gregson-Williams,21Aug5:30pm,2019-08-22 19:30:53.125480
Sagana,Rupert Gregson-Williams,21Aug5:25pm,2019-08-22 19:30:53.125480
Duck Shoot,Rupert Gregson-Williams,21Aug5:21pm,2019-08-22 19:30:53.125480
Duck Shoot,Rupert Gregson-Williams,21Aug5:16pm,2019-08-22 19:30:53.125480
The Crown Main Title,Hans Zimmer,21Aug5:15pm,2019-08-22 19:30:53.125480
Where No One Goes,John Powell,21Aug5:12pm,2019-08-22 19:30:53.125480
Wonder Woman's Wrath,Rupert Gregson-Williams,21Aug5:07pm,2019-08-22 19:30:53.125480
Evelyn Goes It Alone,Geoff Zanelli,21Aug5:05pm,2019-08-22 19:30:53.125480
First Class,Henry Jackman,21Aug5:01pm,2019-08-22 19:30:53.125480
Suite From Poldark,Anne Dudley,21Aug4:56pm,2019-08-22 19:30:53.125480
Swimming Lessons,Rupert Gregson-Williams,21Aug4:53pm,2019-08-22 19:30:53.125480
For the Love of a Princess,James Horner,21Aug4:49pm,2019-08-22 19:30:53.125480
Bathsheba and Oak Unite,Craig Armstrong,21Aug4:47pm,2019-08-22 19:30:53.125480
The Imitation Game,Alexandre Desplat,21Aug4:45pm,2019-08-22 19:30:53.125480
History Lesson,Rupert Gregson-Williams,21Aug4:39pm,2019-08-22 19:30:53.125480
Elegy for Refugees,Dario Marianelli,21Aug4:36pm,2019-08-22 19:30:53.125480
Resurgam,Anne Dudley,21Aug4:33pm,2019-08-22 19:30:53.125480
Romantic Flight,John Powell,21Aug4:31pm,2019-08-22 19:30:53.125480
Stuff We Did,Michael Giacchino,21Aug4:29pm,2019-08-22 19:30:53.125480
We Are All to Blame,Rupert Gregson-Williams,21Aug4:25pm,2019-08-22 19:30:53.125480
Head of the Family,Rupert Gregson-Williams,21Aug4:23pm,2019-08-22 19:30:53.125480
Chasing Margaret,Rupert Gregson-Williams,21Aug4:21pm,2019-08-22 19:30:53.125480
Mary and Edward,Rupert Gregson-Williams,21Aug4:18pm,2019-08-22 19:30:53.125480
Mary is Dead,Rupert Gregson-Williams,21Aug4:16pm,2019-08-22 19:30:53.125480
Dressing Down,Rupert Gregson-Williams,21Aug4:13pm,2019-08-22 19:30:53.125480
Bit of Fluff,Rupert Gregson-Williams,21Aug4:10pm,2019-08-22 19:30:53.125480
Margaret Calls Elizabeth,Rupert Gregson-Williams,21Aug4:06pm,2019-08-22 19:30:53.125480
Where Does That Leave Me?,Rupert Gregson-Williams,21Aug4:05pm,2019-08-22 19:30:53.125480
Someone Remarkable,Rupert Gregson-Williams,21Aug4:00pm,2019-08-22 19:30:53.125480
The Anointing,Rupert Gregson-Williams,21Aug3:55pm,2019-08-22 19:30:53.125480
Margaret and Townsend,Rupert Gregson-Williams,21Aug3:52pm,2019-08-22 19:30:53.125480
In This Together,Rupert Gregson-Williams,21Aug3:46pm,2019-08-22 19:30:53.125480
Edward Returns,Rupert Gregson-Williams,21Aug3:44pm,2019-08-22 19:30:53.125480
Limerick,Rupert Gregson-Williams,21Aug3:41pm,2019-08-22 19:30:53.125480
The Letter,Rupert Gregson-Williams,21Aug3:33pm,2019-08-22 19:30:53.125480
Government,Rupert Gregson-Williams,21Aug3:29pm,2019-08-22 19:30:53.125480
Sagana,Rupert Gregson-Williams,21Aug3:24pm,2019-08-22 19:30:53.125480
Duck Shoot,Rupert Gregson-Williams,21Aug3:20pm,2019-08-22 19:30:53.125480
The Crown Main Title,Hans Zimmer,21Aug3:19pm,2019-08-22 19:30:53.125480
Extremely Loud and Incredibly Close,Alexandre Desplat,21Aug3:16pm,2019-08-22 19:30:53.125480
To The Mattresses,George Fenton,21Aug3:14pm,2019-08-22 19:30:53.125480
Main Title,Rachel Portman,21Aug3:11pm,2019-08-22 19:30:53.125480
The Truth,Fernando Velázquez,21Aug3:06pm,2019-08-22 19:30:53.125480
Mercutura,Mark Snow,21Aug3:02pm,2019-08-22 19:30:53.125480
Steve's Theme,Aaron Zigman,21Aug2:59pm,2019-08-22 19:30:53.125480
Lionel Polanski,Clinton Shorter,21Aug2:57pm,2019-08-22 19:30:53.125480
My Beautiful Daughter,Carlo Siliotto,21Aug2:55pm,2019-08-22 19:30:53.125480
Adagio in D Minor,John Murphy,21Aug2:51pm,2019-08-22 19:30:53.125480
Spotlight,Howard Shore,21Aug2:50pm,2019-08-22 19:30:53.125480
"Dumbledore's Farewell (""Harry Potter & The Half",Nicholas Hooper,21Aug2:48pm,2019-08-22 19:30:53.125480
Bathsheba and Oak Unite,Craig Armstrong,21Aug2:46pm,2019-08-22 19:30:53.125480
Crossing Mars,Harry Gregson-Williams,21Aug2:43pm,2019-08-22 19:30:53.125480
Theme From Schindler's List,John Williams,21Aug2:38pm,2019-08-22 19:30:53.125480
Stuck Here Like Mom,Carter Burwell,21Aug2:37pm,2019-08-22 19:30:53.125480
We Shall Fight,Dario Marianelli,21Aug2:29pm,2019-08-22 19:30:53.125480
Your Majesty,Lorne Balfe,21Aug2:25pm,2019-08-22 19:30:53.125480
The Letter That Never Came,Thomas Newman,21Aug2:21pm,2019-08-22 19:30:53.125480
Autobots,Steve Jablonsky,21Aug2:18pm,2019-08-22 19:30:53.125480
Septimus,Ilan Eshkeri,21Aug2:17pm,2019-08-22 19:30:53.125480
"Becoming One of ""The People"" Becoming One with Neytiri",James Horner,21Aug2:09pm,2019-08-22 19:30:53.125480
Fairy Dance,James Newton Howard,21Aug2:04pm,2019-08-22 19:30:53.125480
Safe Now,Henry Jackman,21Aug2:00pm,2019-08-22 19:30:53.125480
He Gave It Away,Alan Silvestri,21Aug1:57pm,2019-08-22 19:30:53.125480
Kevin Beak'n,Michael Giacchino,21Aug1:55pm,2019-08-22 19:30:53.125480
Welcome to Kyrat,Cliff Martinez,21Aug1:52pm,2019-08-22 19:30:53.125480
The Long Farewell,Ramin Djawadi,21Aug1:49pm,2019-08-22 19:30:53.125480
"Baby Steps, James",David Hirschfelder,21Aug1:47pm,2019-08-22 19:30:53.125480
The Danish Girl,Alexandre Desplat,21Aug1:45pm,2019-08-22 19:30:53.125480
Tornado in a Trailer Park,Henry Jackman,21Aug1:05pm,2019-08-22 19:30:53.125480
Weedy Sea Dragon,Hans Zimmer,21Aug1:03pm,2019-08-22 19:30:53.125480
Baby Turtle,Hans Zimmer,21Aug12:59pm,2019-08-22 19:30:53.125480
Clownfish,Hans Zimmer,21Aug12:55pm,2019-08-22 19:30:53.125480
Kobudai Transformation,Hans Zimmer,21Aug12:50pm,2019-08-22 19:30:53.125480
Scavengers of the Deep,Hans Zimmer,21Aug12:47pm,2019-08-22 19:30:53.125480
A Forest Awakens,Hans Zimmer,21Aug12:44pm,2019-08-22 19:30:53.125480
Humboldt Squid,Hans Zimmer,21Aug12:40pm,2019-08-22 19:30:53.125480
Ducks and Currents,Hans Zimmer,21Aug12:38pm,2019-08-22 19:30:53.125480
Turtle Spa,Hans Zimmer,21Aug12:36pm,2019-08-22 19:30:53.125480
Big Blue,Hans Zimmer,21Aug12:31pm,2019-08-22 19:30:53.125480
Albatross Flight,Hans Zimmer,21Aug12:25pm,2019-08-22 19:30:53.125480
Race to Feed,Hans Zimmer,21Aug12:20pm,2019-08-22 19:30:53.125480
Mobula Rays,Hans Zimmer,21Aug12:18pm,2019-08-22 19:30:53.125480
Abyssal Plain,Hans Zimmer,21Aug12:14pm,2019-08-22 19:30:53.125480
Surfing Dolphins,Hans Zimmer,21Aug12:12pm,2019-08-22 19:30:53.125480
Family Theme,Hans Zimmer,21Aug12:09pm,2019-08-22 19:30:53.125480
The Blue Planet,Hans Zimmer,21Aug12:06pm,2019-08-22 19:30:53.125480
Scavengers of the Deep,Hans Zimmer,21Aug12:06pm,2019-08-22 19:30:53.125480
A Forest Awakens,Hans Zimmer,21Aug11:43am,2019-08-22 19:30:53.125480
Humboldt Squid,Hans Zimmer,21Aug11:39am,2019-08-22 19:30:53.125480
Ducks and Currents,Hans Zimmer,21Aug11:37am,2019-08-22 19:30:53.125480
