song,artist,play_time,download_time,username
Hell On Earth (Front Lines),Mobb Deep,21hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Check Yo Self ,Ice Cube,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Murder Ink,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Shame on a Nigga,Wu-Tang Clan,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
N.Y. State of Mind,Nas,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Can't C Me,2Pac,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
All in a Day's Work,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
The Message ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Bang Bang ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Ackrite ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Housewife ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Pause 4 Porno ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Some L.A. Niggaz ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Murder Ink ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Bitch Niggaz ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Let's Get High ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
The Next Episode ,Dr. Dre,22hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Forgot About Dre ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Light Speed ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Bar One ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
What's The Difference ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Xxplosive ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Big Ego's ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Still D.R.E. ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Fuck You ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
The Watcher ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
Lolo (Intro) ,Dr. Dre,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
39.28,Childish Gambino,23hoursago,2020-03-24 14:44:47.229733,COKUNUBI
