song,artist,play_time,download_time,username,time_type,play_datetime,play_date,time_day_secs,hour,day_of_month,weekday,weekend_flag,time_since_play,artist_count,total_plays,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
Higher Love,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,4,15.25,2.25,0,109,27,13,0.11926605504587157,0.03669724770642202,836,26.0
"Early in the Morning, I'll Come Calling",James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,5,13.8,2.0,0,109,27,13,0.11926605504587157,0.045871559633027525,685,26.0
From the Woods!!,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,5,13.6,2.0,0,109,27,13,0.11926605504587157,0.045871559633027525,630,26.0
Down the Burning Ropes,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,6,12.833333333333334,2.3333333333333335,0,109,27,13,0.11926605504587157,0.05504587155963303,420,26.0
This Old Dark Machine,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,6,12.666666666666666,2.3333333333333335,0,109,27,13,0.11926605504587157,0.05504587155963303,432,26.0
Sonata for Violin and Piano in A major: Allegretto ben moderato,César Franck,20hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 18:31:03.813210,2019-10-23,66663,18,23,2,0,72000,3,1,18.0,2.0,0,3,3,1,0.3333333333333333,0.3333333333333333,2466,434.0
"Piano Concerto No.3, BB 127, Sz. 119: 1. Allegretto",Béla Bartók,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2455,807.0
Ginastera: Estancia / Danzas del Ballet ,Alberto Ginastera,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2860,807.0
Septet in E flat major Op. 20: IV. Tema con Variaziono (Andante),Ludwig van Beethoven,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,86,4,13.5,1.75,0,86,21,18,0.20930232558139536,0.046511627906976744,849,37.0
Zapateo,Leo Brouwer,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2314,807.0
"Elgar: Pomp and Circumstance, Op. 39: II. March No. 2 in A Minor (Allegro molto)",Edward Elgar,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,133,6,13.666666666666666,2.0,0,133,24,15,0.11278195488721804,0.045112781954887216,485,22.0
Variations for violin and piano on 'Trockne Blumen' from Die schöne Müllerin: Introduction,Franz Schubert,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,20,1,16.0,2.0,0,20,4,10,0.5,0.05,2265,112.0
Panis angelicus (arr. by L. Stokowski),Cesar Franck,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2442,807.0
