song,artist,username,total_plays,time_since_play,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
"""All That Is or Ever Was or Ever Will Be""",Alan Silvestri,COKUNUBI,8,85743,13.375,2.5,2,186,45,9,0.04838709677419355,0.043010752688172046,346,8.0
"""Best Day Ever""",Alan Silvestri,COKUNUBI,7,81003,15.142857142857142,1.8571428571428572,0,186,45,9,0.04838709677419355,0.03763440860215054,400,8.0
Arrival,Alan Silvestri,COKUNUBI,5,82743,12.8,0.6,0,186,45,9,0.04838709677419355,0.026881720430107527,584,8.0
Back To The Future: Back To The Future ,Alan Silvestri,COKUNUBI,1,6603,12.0,3.0,0,186,45,9,0.04838709677419355,0.005376344086021506,3679,8.0
Becoming Whole Again,Alan Silvestri,COKUNUBI,5,82203,12.8,0.6,0,186,45,9,0.04838709677419355,0.026881720430107527,565,8.0
Destiny Fulfilled,Alan Silvestri,COKUNUBI,4,79503,14.75,0.5,0,186,45,9,0.04838709677419355,0.021505376344086023,918,8.0
Five Seconds,Alan Silvestri,COKUNUBI,2,76443,13.0,0.5,0,186,45,9,0.04838709677419355,0.010752688172043012,1695,8.0
Get This Thing Started,Alan Silvestri,COKUNUBI,3,77343,14.333333333333334,0.6666666666666666,0,186,45,9,0.04838709677419355,0.016129032258064516,1065,8.0
Go Ahead,Alan Silvestri,COKUNUBI,3,84243,13.666666666666666,1.3333333333333333,0,186,45,9,0.04838709677419355,0.016129032258064516,1074,8.0
Gotta Get Out,Alan Silvestri,COKUNUBI,5,78663,14.0,1.0,0,186,45,9,0.04838709677419355,0.026881720430107527,540,8.0
He Gave It Away,Alan Silvestri,COKUNUBI,6,80103,13.333333333333334,1.0,0,186,45,9,0.04838709677419355,0.03225806451612903,524,8.0
How Do I Look?,Alan Silvestri,COKUNUBI,5,84183,14.8,0.6,0,186,45,9,0.04838709677419355,0.026881720430107527,635,8.0
I Can't Risk This,Alan Silvestri,COKUNUBI,7,80403,14.714285714285714,0.7142857142857143,0,186,45,9,0.04838709677419355,0.03763440860215054,371,8.0
